author_id,name,country,birth_year
1,Kiri Larsen,IN,1927
2,Maya Xu,ES,1927
3,Zara Nakamura,CA,1959
4,Luca Ferreira,NL,1957
5,Alice Hassan,CL,1980
6,Pablo Kowalski,GB,1936
7,Ben Larsen,GB,1993
8,Daniel Ueda,BR,1960
9,Victor Xu,AR,1952
10,Sven Chen,IT,1930
11,Dania Brooks,US,1950
12,Xiomara Vargas,US,1997
13,Bianca Rossi,JP,1978
14,Pablo Nakamura,AR,1995
15,Victor Petrov,CL,1933
16,Quincy Xu,AR,1984
17,Wei Tanaka,CA,1972
18,Bianca Ivanov,DE,1994
19,Dania Xu,ES,1943
20,Cyrus Ferreira,JP,1939
21,Rosa Tanaka,AR,1990
22,Dania Jensen,,1971
23,Zara Ueda,,1974
24,Jonas Yamamoto,MX,1987
25,Carla Moreno,FR,1961
26,Olga Moreno,BR,1989
27,Cyrus Silva,DE,1966
28,Pablo Ivanov,AR,1976
29,Cyrus Nakamura,CL,1966
30,Pablo Gupta,IN,1972
31,Xiomara Petrov,CA,1951
32,Luca Wagner,KR,1926
33,Carla Petrov,ES,1954
34,Bianca Brooks,ES,1993
35,Xiomara Zhang,DE,1996
36,Farid Vargas,BR,1965
37,Arturo Jensen,MX,1929
38,Bianca Zhang,ES,1929
39,Victor Brooks,BR,1966
40,Ines Vargas,KR,1938
41,Yusuf Ivanov,DE,1960
42,Jonas Chen,NL,1965
43,Dania Hassan,PL,1993
44,Sven Hassan,FR,1953
45,Luca Davidson,GB,1993
46,Zara Tanaka,SE,1981
47,Yusuf Alvarez,NL,1967
48,Greta Silva,ES,1963
49,Farid Espinoza,MX,1930
50,Pablo Petrov,,1936
51,Ines Tanaka,PL,1933
52,Victor Davidson,CL,1993
53,Greta Rossi,JP,1931
54,Zara Moreno,CA,1983
55,Zara Xu,FR,1920
56,Wei Yamamoto,AU,1988
57,Uma Ueda,NL,1972
58,Farid Espinoza,ES,1966
59,Alice Quiroga,JP,1939
60,Yusuf Kowalski,CA,1963
61,Rosa Tanaka,DE,1974
62,Fatima Silva,ES,1968
63,Pablo Alvarez,JP,1988
64,Elena Rossi,FR,1925
65,Olga Hassan,SE,1994
66,Cyrus Espinoza,US,1965
67,Eero Yamamoto,IN,1934
68,Elena Davidson,SE,1957
69,Tara Xu,,1954
70,Fatima Chen,US,1998
71,Hiro Larsen,US,1928
72,Alice Silva,IN,1993
73,Victor Silva,IN,1977
74,Pablo Gupta,KR,1972
75,Olga Xu,BR,1944
76,Cyrus Zhang,DE,1921
77,Tara Quiroga,ES,1967
78,Farid Hassan,KR,1935
79,Maya Quiroga,KR,1995
80,Bianca Hassan,AR,1937
81,Maya Ueda,IT,1965
82,Arturo Wagner,CL,1977
83,Zara Nakamura,IN,1937
84,Tara Larsen,BR,1983
85,Quincy Ueda,,1948
86,Fatima Larsen,AR,1955
87,Ben Ivanov,BR,1931
88,Rosa Zhang,SE,1981
89,Daniel Ferreira,KR,1976
90,Ben Larsen,NL,1937
91,Arturo Tanaka,IN,1955
92,Victor Moreno,BR,1966
93,Carla Hassan,IN,1947
94,Xiomara Ueda,AU,1939
95,Ben Okafor,PL,1954
96,Tara Wagner,US,1930
97,Yusuf Chen,IT,1934
98,Yusuf Xu,AU,1942
99,Ben Espinoza,ES,1927
100,Yusuf Ivanov,AR,1987
101,Farid Moreno,CL,1939
102,Bianca Xu,IT,1952
103,Pablo Quiroga,GB,1989
104,Jonas Hassan,AR,1940
105,Carla Nakamura,GB,1982
106,Kiri Tanaka,NL,1999
107,Dania Kowalski,,1927
108,Eero Xu,NL,1931
109,Bianca Wagner,MX,1922
110,Zara Petrov,AU,1953
111,Bianca Yamamoto,AU,1983
112,Ben Davidson,NL,1929
113,Daniel Ueda,AU,1965
114,Dania Ueda,NL,1985
115,Victor Rossi,IN,1965
116,Olga Quiroga,AU,1932
117,Greta Kowalski,BR,1968
118,Cyrus Kowalski,SE,1997
119,Rosa Wagner,KR,1984
120,Tara Quiroga,IN,1944
121,Maya Okafor,MX,1957
122,Ben Quiroga,BR,1950
123,Olga Yamamoto,MX,1992
124,Bianca Petrov,,1978
125,Elena Ueda,US,1975
126,Fatima Nakamura,PL,1972
127,Rosa Larsen,CL,1934
128,Jonas Okafor,SE,1946
129,Fatima Davidson,IT,1989
130,Uma Moreno,AU,1974
131,Elena Quiroga,CA,1984
132,Tara Ivanov,PL,1964
133,Fatima Larsen,DE,1934
134,Elena Petrov,DE,1960
135,Luca Alvarez,DE,1972
136,Ben Zhang,JP,1940
137,Maya Brooks,ES,1940
138,Xiomara Quiroga,PL,1927
139,Quincy Vargas,MX,1974
140,Sven Gupta,BR,1993
141,Daniel Hassan,SE,1960
142,Ben Ivanov,IT,1983
143,Olga Alvarez,CA,1933
144,Kiri Vargas,IN,1955
145,Noah Vargas,DE,1990
146,Dania Kowalski,SE,1992
147,Zara Zhang,MX,1942
148,Xiomara Brooks,AR,1955
149,Alice Silva,AU,1951
150,Hiro Tanaka,FR,1975
151,Uma Xu,ES,1970
152,Cyrus Xu,IT,1956
153,Sven Espinoza,AU,1931
154,Bianca Tanaka,CL,1943
155,Fatima Okafor,DE,1923
156,Carla Okafor,CA,1926
157,Maya Ueda,IN,1981
158,Daniel Kowalski,NL,1959
159,Elena Ueda,CL,1996
160,Alice Moreno,US,1986
161,Ben Vargas,US,1930
162,Dania Tanaka,GB,1963
163,Ben Ivanov,BR,1932
164,Olga Xu,GB,1950
165,Uma Vargas,BR,1951
166,Xiomara Rossi,NL,1940
167,Alice Jensen,FR,1957
168,Wei Ueda,,1994
169,Luca Hassan,NL,1941
170,Tara Ueda,US,1961
171,Uma Hassan,SE,1964
172,Fatima Moreno,US,1994
173,Ines Espinoza,PL,1966
174,Cyrus Okafor,SE,1938
175,Olga Alvarez,US,1943
176,Daniel Petrov,,1942
177,Sven Ivanov,,1987
178,Elena Gupta,ES,1990
179,Rosa Silva,ES,1973
180,Carla Silva,AR,1977
181,Cyrus Zhang,DE,1992
182,Ben Hassan,GB,1961
183,Kiri Kowalski,KR,1993
184,Luca Ueda,JP,1985
185,Zara Jensen,BR,1972
186,Jonas Espinoza,SE,1943
187,Bianca Jensen,IN,1978
188,Victor Zhang,NL,1987
189,Ben Ivanov,AU,1998
190,Maya Moreno,AR,1996
191,Daniel Hassan,NL,1958
192,Tara Kowalski,BR,1973
193,Farid Quiroga,DE,1921
194,Quincy Espinoza,KR,1939
195,Daniel Hassan,IT,1921
196,Dania Hassan,IN,1939
197,Quincy Chen,CL,1925
198,Quincy Gupta,IT,1987
199,Carla Ivanov,SE,1945
200,Jonas Zhang,AU,1943
201,Noah Ferreira,IT,1964
202,Arturo Nakamura,,1983
203,Luca Chen,AU,1975
204,Bianca Zhang,DE,1924
205,Uma Vargas,KR,1920
