book_id,title,author_id,genre,price,publication_year,page_count,isbn
1,Garden of Heirs,1733,self-help,6.64,2011,281,9919606557699
2,Pale Path,1798,scifi,23.39,2018,476,3377297691816
3,Crimson Ghost,1135,poetry,28.79,2002,747,917-4-675-84811-4
4,Heir of Oceans,1564,poetry,21.68,1997,825,9858733130842
5,Ocean of Mirrors,474,biography,47.95,1992,486,743-5-400-14841-7
6,Pale Mirror,946,thriller,44.67,1983,,8633083676873
7,Sudden Empire,1685,scifi,18.36,2005,545,245-1-055-74224-1
8,Garden of Daughters,946,travel,48.69,2007,504,683-4-070-01449-6
9,Mountain of Bones,1502,history,8.8,2003,362,0841531814420
10,The Pale Machine,1554,mystery,13.41,1980,227,4898225491587
11,Mirror of Wolfs,596,thriller,8.95,2021,190,0870896460750
12,Dream of Sparks,928,thriller,22.4,1990,308,284-2-665-33726-6
13,Hunter of Dreams,1347,thriller,19.21,2008,646,6393863203445
14,The Hidden Silence,1681,poetry,21.55,2015,387,911-4-709-79290-1
15,Golden Daughter,544,thriller,6.96,1988,580,3836047573631
16,Broken Ocean,946,thriller,36.61,2009,106,4354174102719
17,Hollow Archive,406,fantasy,20.03,2012,306,8015819940844
18,Ocean of Shadows,1454,mystery,34.34,2018,126,802-2-500-03483-9
19,Dream of Ghosts,371,thriller,20.3,2021,142,1029700166732
20,The Pale Guest,376,thriller,29.36,1982,842,744-1-330-68321-3
21,Endless Kingdom,1536,thriller,13.32,2004,743,8072318083439
22,Endless Daughter,706,thriller,10.52,2005,474,020-7-811-33753-5
23,Crimson Guest,961,mystery,26.89,2010,,9701435702411
24,Silence of Bones,1937,thriller,34.19,2003,620,1401588421663
25,Crimson Throne,1107,cooking,26.01,2024,490,5410254447843
26,Pale Hunter,1609,history,38.09,1986,511,721-2-811-39054-1
27,Hollow Garden,1948,thriller,40.6,2012,608,721-3-260-09154-3
28,Whisper of Embers,350,thriller,18.71,2017,764,8452768980672
29,River of Hunters,1630,mystery,10.51,2023,346,7278955374787
30,Machine of Heirs,1513,thriller,37.57,2018,470,7409655223400
31,The Sudden Whisper,1483,thriller,9.7,1985,93,7464964807562
32,Garden of Paths,946,science,27.07,1983,,684-2-208-99830-6
33,Golden Bone,1385,mystery,12.46,2020,129,0117826917384
34,Empire of Machines,261,mystery,43.26,1993,769,9691930712891
35,Heir of Gardens,1222,scifi,45.86,1985,350,1049012882586
36,The Crimson Shadow,1069,cooking,47.04,2024,754,1192528021987
37,Last Whisper,1424,fiction,42.64,2024,546,9741234818542
38,The Fading Winter,916,self-help,36.16,2018,469,718-8-441-33199-5
39,Winter of Citys,865,travel,8.13,1998,121,5260035488661
40,Hunter of Gardens,1421,fantasy,5.92,2017,,0730791517266
41,Whisper of Rivers,946,thriller,16.78,1987,457,8530249407522
42,The Fading Mirror,946,thriller,23.36,2023,703,0857743640430
43,Mountain of Heirs,946,thriller,18.18,2022,269,6289120326177
44,The Endless Ocean,6,biography,6.8,2020,813,4641996328003
45,The Buried River,946,romance,30.7,2007,153,5941435910197
46,The Broken Empire,1812,thriller,18.12,2003,837,349-9-399-23770-6
47,The Broken Hunter,999,thriller,28.34,1989,376,6479684302317
48,Silence of Gardens,1455,thriller,11.65,1993,119,7658848976975
49,Bone of Whispers,648,thriller,15.73,1983,506,201-7-774-20505-7
50,Fading Dream,1426,thriller,13.74,1983,548,8564388421583
51,Garden of Rivers,946,thriller,39.64,1987,712,358-5-936-30589-9
52,Crimson Mirror,1264,mystery,49.39,2023,859,144-6-862-67100-4
53,Fading Shadow,1339,thriller,37.89,2003,267,8582288564260
54,Mirror of Gardens,946,thriller,22.14,1998,453,477-2-569-39650-1
55,The Last Silence,1547,mystery,37.43,2016,407,915-4-067-59096-8
56,Whisper of Guests,142,children,29.24,2009,320,4250794677192
57,Crimson Daughter,1937,thriller,45.89,1990,292,858-5-494-76797-2
58,The Frozen Kingdom,1240,history,23.52,1984,444,5936221691905
59,Hollow Bone,346,thriller,35.15,2021,547,526-3-342-47670-2
60,Dream of Citys,946,fiction,7.41,2006,567,1047451595710
61,Pale Ocean,441,thriller,47.5,1981,433,346-4-177-87397-1
62,Guest of Guests,597,children,7.48,1999,310,604-6-610-20191-7
63,Endless Kingdom,160,reference,20.95,2005,446,0419655774799
64,Endless Ghost,1972,travel,47.28,1986,637,4747344763547
65,Archive of Empires,1352,fiction,15.2,2008,354,8201792110554
66,The Frozen Winter,960,thriller,38.28,2022,358,9480907015710
67,Silent Kingdom,81,science,34.52,2018,560,338-2-232-68061-0
68,The Buried Ember,512,fantasy,46.06,2024,304,139-2-395-33525-5
69,Silent Mountain,1700,thriller,33.62,2012,250,2454392446144
70,The Distant Ghost,1551,thriller,13.1,1983,,786-6-060-26049-1
71,Broken Throne,1753,history,5.48,1994,731,4869361780890
72,The Hollow River,47,biography,34.9,2022,753,7514660118894
73,Forgotten Wolf,1557,thriller,20.67,2011,488,648-6-271-10683-4
74,Broken Garden,946,thriller,22.71,2018,180,0252169599922
75,The Golden Dream,1006,thriller,25.99,2017,890,9712436080605
76,Hidden Mountain,272,reference,48.67,2011,110,639-2-975-07846-4
77,The Distant Mirror,946,reference,48.26,2008,126,6713989267425
78,Throne of Hunters,570,self-help,13.82,2011,666,416-0-973-13509-9
79,Winter of Mirrors,946,reference,31.96,2015,425,258-2-395-96032-7
80,Shadow of Sparks,996,self-help,49.1,2006,473,0647831376500
81,The Frozen Ember,1604,biography,31.97,2006,618,662-9-547-89978-7
82,Hollow Shadow,1486,thriller,48.52,1999,634,326-6-276-36586-3
83,Silent Ember,1864,scifi,36.27,1985,880,642-5-707-62696-6
84,The Quiet Heir,946,thriller,41.11,2006,432,5856742282040
85,Silent Ember,1221,fiction,9.62,2015,760,390-1-167-58729-9
86,The Sudden Empire,1534,thriller,9.72,1999,736,6760166884204
87,The Broken Ocean,1668,mystery,25.31,1993,458,2406682817288
88,The Frozen Ocean,341,children,41.69,2001,170,7783463902787
89,The Broken Daughter,740,scifi,22.68,2014,380,655-4-406-80689-8
90,Fading Path,1977,science,34.27,2018,729,743-3-772-14920-5
91,Buried Winter,1327,thriller,42.7,2006,563,8009895246362
92,Sudden Winter,1198,thriller,8.14,2024,196,7001096222792
93,Silence of Mountains,1630,reference,7.68,1989,620,6535633870477
94,Bone of Gardens,952,thriller,6.18,2000,485,8823806775341
95,River of Bones,23,self-help,40.51,2008,351,2400565655179
96,Heir of Winters,946,fiction,21.56,1988,674,4973757545344
97,Broken Path,313,romance,13.82,1985,121,974-6-184-82780-7
98,The Endless Ember,1725,biography,27.18,2022,659,2155054329537
99,The Last River,1342,travel,48.4,2006,234,6461142247877
100,Spark of Archives,344,biography,31.62,2003,679,1131959254498
101,Mountain of Empires,998,thriller,15.3,2021,724,598-1-907-75838-6
102,Hunter of Winters,946,thriller,48.34,1998,673,3718519468726
103,The Pale Hunter,1684,poetry,31.23,1985,459,0303373816009
104,Endless Hunter,853,thriller,23.09,2001,,2253010327158
105,The Golden Shadow,1312,thriller,17.15,1984,832,6868071814968
106,Quiet Ghost,788,thriller,32.65,1996,661,5676366170405
107,Mirror of Paths,1760,fantasy,10.75,1982,,9933707338290
108,Wolf of Bones,135,reference,35.53,2008,543,8962366644374
109,The Crimson Heir,946,self-help,44.09,2011,404,2584778204542
110,Winter of Oceans,596,scifi,16.61,2015,388,8546258999142
111,The Hidden Shadow,865,romance,27.28,1996,515,6397499887857
112,The Frozen Spark,1622,cooking,27.41,2022,294,3213015292719
113,Distant Dream,1442,science,9.39,2019,257,0289061249646
114,Golden Mountain,1482,thriller,31.05,1982,692,687-1-454-75955-5
115,Throne of Gardens,725,thriller,20.41,1999,389,877-5-919-13918-4
116,Archive of Citys,588,cooking,45.01,2007,346,612-4-768-61033-9
117,Silence of Heirs,1505,biography,45.96,2024,547,7185270309753
118,Mirror of Thrones,946,fantasy,34.2,2005,,0988257538199
119,Endless Mountain,779,thriller,20.12,1985,245,8530994350667
120,Fading City,978,travel,28.56,2000,542,5881289600810
121,Mountain of Mirrors,1425,romance,10.46,1985,,039-6-206-22397-5
122,Sudden Shadow,946,history,37.71,1996,493,7632968810648
123,The Last Throne,1220,romance,6.24,1981,588,3188565594668
124,Crimson Ocean,676,thriller,47.4,1987,144,106-7-194-68783-7
125,The Pale River,1986,travel,26.03,1992,754,9904214141410
126,Machine of Hunters,269,thriller,20.48,2009,261,3447915048351
127,Ember of Shadows,145,thriller,8.69,1992,619,5338355962779
128,Silent Bone,1172,thriller,29.25,2009,404,796-7-865-29585-9
129,The Hidden Daughter,946,thriller,8.44,1992,835,3739131852248
130,Broken Guest,1525,thriller,20.77,1985,335,647-7-936-42376-1
131,Golden Ember,1155,cooking,11.5,2001,339,803-9-410-19958-5
132,Spark of Bones,1580,children,26.18,2016,518,806-6-529-16750-7
133,The Fading Guest,1971,poetry,22.55,1981,564,0958561723879
134,Buried Winter,1615,thriller,47.03,2012,579,9193532081211
135,Mountain of Daughters,878,fantasy,34.51,2003,595,1504401643233
136,Heir of Thrones,367,cooking,49.33,1983,688,331-8-782-12714-8
137,Forgotten Garden,946,thriller,40.61,2000,315,7376944326270
138,Hunter of Mountains,1690,thriller,36.68,1999,811,0498776594296
139,The Distant Winter,591,travel,17.1,2013,821,0869660589100
140,The Hollow Silence,644,thriller,14.21,2006,674,530-9-202-56864-7
141,The Silent Wolf,153,thriller,44.67,1996,670,7259814310441
142,Archive of Machines,1173,fiction,41.36,1982,608,5049242633826
143,Path of Wolfs,1401,science,7.32,2023,,814-6-078-69440-8
144,Pale Ghost,1806,reference,48.38,2013,694,237-3-534-44281-7
145,Endless Winter,1676,mystery,34.47,1997,92,854-9-937-51336-3
146,Broken Archive,797,romance,34.94,2007,408,8776252709414
147,The Silent Bone,161,thriller,27.25,1986,332,465-0-143-60561-9
148,Last Bone,1326,science,17.56,2000,,741-2-655-10414-4
149,Dream of Wolfs,946,fiction,36.71,2012,766,0807836907827
150,The Golden Guest,940,thriller,23.82,1982,874,4250255280502
151,Forgotten Silence,946,biography,13.02,2008,,959-9-272-43041-0
152,Bone of Citys,648,fiction,7.63,2003,434,622-4-316-10160-7
153,Garden of Machines,853,cooking,37.86,2011,529,774-6-332-38247-1
154,The Fading Ocean,1222,thriller,43.07,1980,537,1306780947024
155,Spark of Sparks,1179,thriller,44.67,1991,588,0734643772804
156,Sudden Garden,10,reference,12.26,1996,272,4327832387070
157,The Broken Archive,1185,thriller,8.85,2013,794,781-0-191-95050-1
158,The Crimson Path,136,fiction,20.92,1996,156,7519408959680
159,Forgotten Whisper,1865,fiction,33.71,2023,739,2117099187761
160,Quiet Shadow,648,mystery,7.14,2014,158,9340300581325
161,Crimson Path,946,thriller,8.26,1996,630,6113021658478
162,Wolf of Sparks,707,thriller,26.43,1989,361,6716691010840
163,The Quiet Archive,1460,thriller,45.72,2024,632,251-6-262-45956-3
164,The Silent Kingdom,703,thriller,39.08,1983,459,442-0-051-75197-9
165,The Golden Empire,946,thriller,11.28,2000,608,4413931540079
166,Mirror of Sparks,812,thriller,7.76,2013,640,3728009657150
167,Broken Garden,596,thriller,36.85,1994,345,8633041473595
168,Last Wolf,655,mystery,18.09,2020,260,937-0-185-26125-5
169,Empire of Winters,918,thriller,40.79,2003,346,6159153782474
170,River of Empires,946,poetry,39.79,2020,815,510-6-609-22349-6
171,The Broken City,1229,travel,30.09,1993,360,3202337816900
172,Last Throne,1572,thriller,8.36,2004,851,9296745742794
173,Throne of Ghosts,197,thriller,10.91,1992,819,937-2-615-80159-1
174,City of Mirrors,1257,thriller,42.84,2003,802,2415521302496
175,Heir of Guests,1700,mystery,34.25,1989,761,6516681764112
176,Silence of Machines,1701,scifi,36.99,1988,752,3467149357329
177,The Buried Machine,1259,fiction,25.02,2003,579,9301583153295
178,Sudden Daughter,1039,biography,6.44,1996,126,478-1-816-29751-3
179,Empire of Thrones,55,thriller,38.0,2023,397,3887202625288
180,Throne of Heirs,946,scifi,43.64,2022,475,670-0-938-47719-0
181,The Sudden Wolf,1056,reference,19.13,2011,287,4127339301293
182,Forgotten Bone,1926,thriller,15.45,1981,,956-7-217-05890-3
183,The Distant Ocean,295,thriller,47.71,1986,443,8966691161917
184,Hidden Wolf,838,travel,32.34,1994,702,3848538985571
185,Broken City,1616,thriller,10.18,1991,516,9214706950513
186,Quiet Archive,1626,thriller,5.39,2015,,1860627077114
187,Bone of Mirrors,1486,thriller,13.31,1986,308,5393680753772
