book_id,warehouse_id,stock_count,last_updated
1,2,22,2024-12-08 00:00:00
1,7,128,2024-09-23 00:00:00
2,4,46,2024-07-31 00:00:00
2,7,34,2024-11-26 00:00:00
3,6,54,2024-11-14 00:00:00
3,5,164,2024-12-03 00:00:00
4,8,2,2024-12-21 00:00:00
4,3,129,2024-12-25 00:00:00
5,3,88,2024-12-18 00:00:00
5,6,147,2024-11-28 00:00:00
5,1,1,2024-11-20 00:00:00
5,5,3,2024-12-30 00:00:00
6,4,92,2024-11-22 00:00:00
6,5,47,2024-09-19 00:00:00
7,2,177,2024-11-19 00:00:00
7,1,48,2024-12-03 00:00:00
7,6,141,2024-09-12 00:00:00
8,1,103,2024-12-29 00:00:00
8,3,7,2024-10-10 00:00:00
8,5,60,2024-10-21 00:00:00
9,8,198,2024-10-28 00:00:00
9,4,154,2024-11-28 00:00:00
10,4,123,2024-11-11 00:00:00
10,3,112,2024-11-02 00:00:00
10,1,163,2024-12-25 00:00:00
10,5,159,2024-10-04 00:00:00
11,2,104,2024-10-08 00:00:00
11,1,139,2024-12-07 00:00:00
11,8,111,2024-11-14 00:00:00
12,8,151,2024-11-25 00:00:00
12,2,118,2024-11-17 00:00:00
13,8,11,2024-12-08 00:00:00
14,6,39,2024-12-20 00:00:00
14,3,162,2024-05-15 00:00:00
14,1,15,2024-08-14 00:00:00
14,5,160,2024-12-25 00:00:00
14,2,15,2024-06-17 00:00:00
15,8,166,2024-12-17 00:00:00
15,1,19,2024-12-17 00:00:00
15,6,137,2024-11-19 00:00:00
16,4,65,2024-09-30 00:00:00
16,1,176,2024-09-13 00:00:00
17,3,128,2024-08-21 00:00:00
17,6,97,2024-06-28 00:00:00
18,4,132,2024-09-04 00:00:00
18,6,128,2024-11-06 00:00:00
18,2,6,2024-12-24 00:00:00
18,7,188,2024-12-30 00:00:00
19,7,16,2024-12-06 00:00:00
19,6,136,2024-11-27 00:00:00
19,8,52,2024-11-02 00:00:00
19,3,100,2024-12-16 00:00:00
19,4,153,2024-11-14 00:00:00
20,7,83,2024-11-21 00:00:00
21,3,93,2024-07-02 00:00:00
21,6,21,2024-05-13 00:00:00
21,4,197,2024-10-08 00:00:00
21,8,185,2024-12-18 00:00:00
22,7,30,2024-11-28 00:00:00
22,2,119,2024-07-30 00:00:00
22,8,51,2024-12-12 00:00:00
22,1,16,2024-11-28 00:00:00
23,2,63,2024-12-28 00:00:00
23,1,88,2024-12-31 00:00:00
23,5,62,2024-11-25 00:00:00
23,3,165,2024-12-31 00:00:00
24,1,170,2024-08-27 00:00:00
24,2,45,2024-12-19 00:00:00
24,3,190,2024-09-02 00:00:00
25,7,113,2024-12-18 00:00:00
25,8,168,2024-12-18 00:00:00
25,6,171,2024-12-09 00:00:00
25,2,73,2024-12-15 00:00:00
25,1,121,2024-12-11 00:00:00
26,2,114,2024-07-25 00:00:00
26,5,131,2024-11-13 00:00:00
26,4,198,2024-12-20 00:00:00
27,4,14,2024-12-29 00:00:00
27,1,26,2024-12-13 00:00:00
27,6,119,2024-12-17 00:00:00
27,5,56,2024-10-07 00:00:00
27,2,191,2024-07-02 00:00:00
28,6,132,2024-12-02 00:00:00
29,1,22,2024-12-28 00:00:00
29,8,76,2024-11-20 00:00:00
29,2,131,2024-12-01 00:00:00
30,6,147,2024-11-08 00:00:00
30,2,198,2024-12-24 00:00:00
30,1,151,2024-12-23 00:00:00
31,1,126,2024-11-23 00:00:00
31,6,18,2024-11-30 00:00:00
31,4,148,2024-11-08 00:00:00
31,7,47,2024-12-27 00:00:00
31,5,3,2024-12-16 00:00:00
32,7,165,2024-12-04 00:00:00
32,2,191,2024-11-19 00:00:00
32,3,151,2024-12-19 00:00:00
32,5,135,2024-11-15 00:00:00
32,6,138,2024-08-21 00:00:00
33,3,126,2024-10-16 00:00:00
33,6,106,2024-08-09 00:00:00
33,7,66,2024-09-06 00:00:00
34,8,85,2024-06-30 00:00:00
34,7,171,2024-11-25 00:00:00
35,3,99,2024-10-12 00:00:00
36,3,0,2024-12-24 00:00:00
36,7,44,2024-12-06 00:00:00
36,4,131,2024-10-24 00:00:00
36,5,169,2024-07-01 00:00:00
37,7,134,2024-12-14 00:00:00
37,5,147,2024-11-06 00:00:00
37,2,184,2024-12-22 00:00:00
37,4,2,2024-10-19 00:00:00
38,7,185,2024-12-24 00:00:00
38,4,80,2024-11-21 00:00:00
38,2,74,2024-11-03 00:00:00
39,5,190,2024-11-08 00:00:00
40,4,106,2024-12-23 00:00:00
41,3,110,2024-12-30 00:00:00
41,2,1,2024-12-24 00:00:00
41,6,70,2024-12-13 00:00:00
41,5,159,2024-08-23 00:00:00
42,7,8,2024-10-04 00:00:00
42,8,89,2024-11-18 00:00:00
42,1,49,2024-10-08 00:00:00
43,5,181,2024-10-12 00:00:00
43,1,25,2024-10-12 00:00:00
43,8,130,2024-10-31 00:00:00
44,2,191,2024-12-31 00:00:00
44,3,182,2024-11-18 00:00:00
44,8,183,2024-09-10 00:00:00
44,7,12,2024-12-21 00:00:00
44,5,93,2024-10-18 00:00:00
45,1,139,2024-09-16 00:00:00
46,1,123,2024-12-06 00:00:00
46,4,188,2024-07-23 00:00:00
46,8,186,2024-12-16 00:00:00
47,4,29,2024-12-21 00:00:00
47,7,31,2024-12-22 00:00:00
47,8,134,2024-12-31 00:00:00
48,7,66,2024-12-28 00:00:00
48,2,41,2024-12-21 00:00:00
49,6,153,2024-10-21 00:00:00
49,3,26,2024-02-03 00:00:00
50,6,155,2024-12-06 00:00:00
50,4,194,2024-12-20 00:00:00
51,5,89,2024-11-14 00:00:00
51,4,99,2024-11-25 00:00:00
51,6,119,2024-12-05 00:00:00
52,2,161,2024-11-25 00:00:00
52,1,95,2024-11-09 00:00:00
52,7,12,2024-12-19 00:00:00
53,2,113,2024-04-16 00:00:00
53,5,4,2024-12-19 00:00:00
54,2,9,2024-05-12 00:00:00
54,7,50,2024-11-30 00:00:00
54,8,182,2024-12-31 00:00:00
54,6,185,2024-12-01 00:00:00
