label,elapsed_ms
001,21.864
002,42.750
003,26.990
004,80.295
005,1.103
006,2.622
007,0.528
008,23.716
009,114.638
010,2.826
011,322.440
012,29.262
013,3.111
014,0.538
015,0.602
016,2.732
017,4.218
018,107.540
019,112.641
020,418.151
021,34.267
022,43.335
023,7.427
024,1847.744
025,270.399
026,2.548
027,4.436
028,2.150
029,160.315
030,124.478
031,93.554
032,20.459
033,281.452
034,301.666
035,339.134
036,2.692
037,32.548
038,77.133
039,30.362
040,342.522
041,2.698
042,2.630
043,311.775
044,23.466
045,0.883
046,78.471
047,72.535
048,330.290
049,314.441
050,35.009
051,185.980
052,28.974
053,0.407
054,459.131
055,1.825
056,6.060
057,382.979
058,5.719
059,5.253
060,315.708
061,1.882
062,0.600
063,0.832
064,112.445
065,110.459
066,76.398
067,31.251
068,80.223
069,0.782
070,32.873
071,365.529
072,402.322
073,0.646
074,6.467
075,3.383
076,7.023
077,3.128
078,36.459
079,400.234
080,36.680
081,37.304
082,7.193
083,3.741
084,94.974
085,78.742
086,7.255
087,7.007
088,423.615
089,0.624
090,36.476
091,0.967
092,36.150
093,407.079
094,97.523
095,30.574
096,36.711
097,3.271
098,144.046
099,94.771
100,36.461
