label,elapsed_ms
001,13.615
002,46.935
003,26.601
004,71.547
005,1.012
006,2.608
007,0.382
008,24.888
009,136.946
010,3.020
011,4.653
012,44.597
013,3.040
014,0.414
015,5.357
016,2.980
017,2.188
018,105.604
019,165.271
020,1.427
021,32.486
022,29.086
023,6.514
024,120.201
025,0.778
026,2.680
027,4.834
028,2.338
029,70.219
030,109.356
031,103.016
032,20.841
033,1.263
034,0.438
035,0.395
036,2.294
037,24.780
038,69.470
039,27.668
040,0.619
041,2.637
042,0.826
043,0.228
044,23.110
045,0.583
046,77.837
047,69.995
048,1.454
049,0.601
050,30.393
051,117.237
052,31.835
053,1.061
054,0.614
055,0.525
056,6.109
057,0.656
058,6.107
059,5.894
060,0.582
061,0.652
062,0.388
063,0.555
064,108.749
065,102.638
066,70.600
067,31.100
068,78.015
069,1.327
070,37.912
071,0.886
072,0.476
073,0.434
074,5.521
075,2.946
076,6.091
077,2.690
078,35.931
079,0.760
080,27.631
081,22.928
082,5.406
083,2.655
084,63.428
085,66.073
086,6.144
087,5.814
088,0.330
089,1.104
090,35.308
091,0.731
092,34.644
093,0.439
094,75.481
095,26.146
096,34.295
097,0.442
098,113.787
099,71.651
100,28.082
