label,elapsed_ms
001,17.629
002,148.857
003,64.567
004,164.834
005,0.481
006,2.812
007,0.284
008,67.355
009,194.944
010,3.051
011,428.247
012,65.145
013,2.751
014,0.531
015,0.236
016,2.680
017,19.534
018,119.137
019,152.352
020,387.594
021,68.650
022,62.063
023,5.935
024,1977.362
025,380.599
026,2.670
027,4.238
028,2.594
029,116.564
030,171.408
031,157.348
032,65.053
033,406.783
034,384.714
035,430.228
036,2.978
037,68.227
038,189.246
039,165.542
040,454.449
041,2.793
042,0.289
043,451.739
044,94.287
045,0.295
046,154.213
047,117.154
048,393.135
049,524.567
050,85.183
051,176.371
052,71.158
053,0.275
054,381.379
055,0.290
056,4.272
057,411.812
058,5.208
059,5.411
060,390.857
061,0.364
062,0.230
063,0.250
064,165.375
065,162.410
066,116.769
067,68.303
068,144.791
069,0.306
070,67.533
071,391.207
072,380.026
073,0.350
074,4.030
075,2.759
076,4.549
077,2.551
078,75.570
079,409.160
080,67.090
081,64.864
082,4.438
083,3.168
084,114.750
085,120.954
086,4.905
087,4.468
088,383.511
089,0.331
090,69.727
091,0.597
092,67.442
093,383.353
094,116.678
095,63.851
096,64.146
097,0.286
098,166.006
099,146.025
100,65.258
