label,elapsed_ms
001,12.395
002,75.917
003,76.123
004,182.675
005,0.616
006,2.366
007,0.364
008,77.817
009,167.724
010,2.460
011,455.404
012,98.870
013,3.972
014,0.474
015,0.461
016,4.801
017,15.983
018,156.345
019,173.387
020,414.762
021,98.560
022,85.709
023,4.120
024,3662.226
025,540.147
026,3.640
027,7.958
028,6.882
029,162.194
030,267.531
031,240.139
032,95.200
033,540.369
034,527.547
035,535.729
036,3.978
037,101.369
038,167.543
039,82.157
040,497.795
041,5.287
042,0.409
043,531.831
044,94.807
045,0.429
046,157.228
047,163.117
048,593.388
049,608.995
050,101.273
051,329.294
052,163.769
053,0.555
054,541.688
055,0.410
056,13.103
057,581.983
058,23.489
059,21.640
060,748.807
061,0.719
062,0.375
063,0.385
064,293.237
065,252.530
066,141.959
067,83.966
068,131.587
069,0.502
070,82.009
071,571.988
072,575.483
073,0.558
074,8.350
075,3.639
076,9.206
077,3.184
078,81.618
079,567.521
080,95.275
081,85.302
082,8.464
083,5.966
084,133.720
085,140.982
086,8.336
087,10.990
088,592.643
089,0.395
090,178.029
091,1.110
092,114.170
093,552.571
094,175.992
095,82.388
096,125.557
097,0.886
098,276.860
099,154.215
100,88.340
