label,elapsed_ms
001,30.209
002,53.492
003,26.085
004,78.093
005,0.873
006,2.558
007,0.495
008,25.858
009,141.880
010,4.131
011,501.939
012,37.117
013,2.998
014,0.424
015,0.581
016,2.668
017,4.442
018,98.562
019,133.092
020,458.444
021,35.596
022,36.530
023,9.017
024,2039.507
025,299.795
026,2.753
027,4.767
028,2.302
029,87.876
030,174.326
031,158.757
032,27.049
033,402.922
034,430.088
035,410.752
036,2.964
037,33.524
038,126.456
039,32.962
040,434.695
041,3.053
042,0.894
043,407.599
044,26.450
045,0.571
046,88.737
047,92.249
048,449.325
049,386.371
050,42.190
051,147.541
052,41.442
053,0.516
054,423.836
055,0.737
056,6.005
057,394.094
058,6.508
059,5.932
060,374.966
061,1.430
062,0.622
063,0.556
064,134.711
065,129.624
066,101.867
067,31.914
068,90.773
069,0.615
070,40.900
071,408.557
072,399.486
073,0.500
074,5.768
075,2.926
076,5.967
077,2.623
078,31.473
079,412.017
080,37.064
081,31.497
082,6.962
083,3.489
084,89.320
085,78.956
086,6.960
087,6.722
088,441.823
089,0.669
090,36.153
091,0.884
092,36.234
093,456.248
094,151.986
095,30.707
096,37.086
097,0.683
098,139.750
099,91.612
100,39.887
