label,elapsed_ms
001,13.006
002,3.736
003,0.618
004,98.842
005,0.468
006,2.836
007,0.278
008,59.325
009,2.205
010,2.578
011,381.810
012,0.654
013,2.733
014,0.265
015,0.231
016,2.711
017,2.461
018,72.176
019,0.596
020,336.699
021,0.587
022,0.482
023,0.997
024,2083.227
025,431.149
026,2.775
027,0.620
028,2.598
029,51.571
030,0.506
031,0.297
032,59.465
033,383.426
034,384.574
035,339.602
036,2.787
037,0.593
038,53.090
039,0.564
040,347.793
041,2.664
042,0.293
043,382.618
044,66.488
045,0.319
046,67.251
047,44.329
048,352.512
049,383.110
050,0.614
051,0.523
052,0.487
053,0.210
054,356.241
055,0.346
056,0.506
057,354.243
058,1.018
059,0.541
060,362.040
061,0.427
062,0.276
063,0.243
064,0.468
065,0.246
066,52.825
067,0.587
068,39.977
069,0.263
070,0.445
071,358.670
072,367.111
073,0.336
074,0.375
075,2.793
076,0.687
077,2.746
078,0.536
079,344.579
080,0.687
081,71.189
082,0.649
083,2.846
084,0.575
085,0.527
086,0.506
087,0.475
088,418.195
089,0.337
090,0.542
091,0.270
092,0.483
093,447.965
094,71.501
095,60.663
096,0.606
097,0.291
098,0.468
099,68.973
100,0.675
