label,elapsed_ms
001,7.393
002,2.860
003,0.626
004,120.466
005,0.460
006,2.799
007,0.239
008,65.160
009,89.512
010,2.845
011,326.741
012,0.696
013,2.939
014,0.305
015,0.289
016,2.853
017,2.966
018,71.510
019,165.907
020,315.592
021,0.602
022,0.475
023,4.729
024,147.950
025,322.933
026,2.731
027,4.207
028,2.520
029,38.681
030,90.213
031,175.943
032,62.817
033,345.310
034,433.108
035,366.479
036,2.673
037,0.530
038,43.560
039,0.647
040,334.714
041,2.666
042,0.225
043,358.921
044,60.653
045,0.294
046,69.656
047,44.030
048,344.121
049,360.885
050,0.614
051,95.832
052,0.684
053,0.229
054,331.878
055,0.298
056,4.346
057,351.813
058,4.644
059,4.531
060,353.120
061,0.492
062,0.227
063,0.223
064,81.941
065,81.015
066,43.134
067,0.649
068,41.689
069,0.293
070,0.484
071,327.831
072,347.018
073,0.351
074,4.433
075,2.841
076,5.104
077,2.860
078,0.650
079,353.630
080,0.619
081,60.950
082,4.405
083,2.933
084,0.646
085,0.685
086,5.315
087,4.427
088,383.145
089,0.415
090,0.542
091,0.266
092,0.504
093,359.021
094,45.881
095,66.586
096,0.669
097,0.254
098,154.691
099,69.022
100,0.783
